Region Name,City Name,School Name,School Score
City of Toronto,Toronto,Sainte-Madeleine,5.4
Durham Region,Oshawa,Seneca Trail,5.4
City of Toronto,Toronto,St. Charles Garnier,5.4
City of Toronto,Toronto,St. Helen,5.4
Peel Region,Mississauga,St. Teresa of Avila,5.4
Peel Region,Mississauga,St. Vincent de Paul,5.4
City of Toronto,Toronto,West Rouge,5.4
Halton Region,Oakville,Abbey Lane,5.3
City of Toronto,Toronto,Africentric Alternative,5.3
Peel Region,Brampton,Cardinal Newman,5.3
Peel Region,Brampton,Guardian Angels,5.3
City of Toronto,Toronto,Holy Angels,5.3
Halton Region,Burlington,Holy Rosary,5.3
